Time,Deal,Symbol,Type,Direction,Volume,Price,Order,Commission,Swap,Profit,Balance,Comment
02/25/2025 07:00:36,TV-35,,Entry long,in,1,21762.75,35,0.00,0.00,76.50,0.00,Long
02/27/2025 08:00:36,TV-36,,Exit long,out,1,21272.25,36,0.00,0.00,-72.50,11917.00,TP/SL
02/27/2025 07:00:36,TV-36,,Entry long,in,1,21308.5,36,0.00,0.00,-72.50,0.00,Long
03/05/2025 05:15:36,TV-37,,Exit short,out,1,20443.5,37,0.00,0.00,150.00,12067.00,TP/SL
03/05/2025 04:15:36,TV-37,,Entry short,in,1,20518.5,37,0.00,0.00,150.00,0.00,Short
03/05/2025 12:00:36,TV-38,,Exit short,out,1,20317.75,38,0.00,0.00,-313.00,11754.00,TP/SL
03/05/2025 10:45:36,TV-38,,Entry short,in,1,20161.25,38,0.00,0.00,-313.00,0.00,Short
03/07/2025 08:15:36,TV-39,,Exit short,out,1,20327.75,39,0.00,0.00,139.00,11893.00,TP/SL
03/07/2025 06:00:36,TV-39,,Entry short,in,1,20397.25,39,0.00,0.00,139.00,0.00,Short
03/07/2025 09:45:36,TV-40,,Exit short,out,1,20239.25,40,0.00,0.00,147.50,12040.50,TP/SL
03/07/2025 09:45:36,TV-40,,Entry short,in,1,20313,40,0.00,0.00,147.50,0.00,Short
03/11/2025 04:15:36,TV-41,,Exit short,out,1,20040.5,41,0.00,0.00,107.50,12148.00,TP/SL
03/11/2025 04:15:36,TV-41,,Entry short,in,1,20094.25,41,0.00,0.00,107.50,0.00,Short
03/19/2025 09:00:36,TV-42,,Exit short,out,1,19908.25,42,0.00,0.00,89.50,12237.50,TP/SL
03/19/2025 08:30:36,TV-42,,Entry short,in,1,19953,42,0.00,0.00,89.50,0.00,Short
03/20/2025 03:45:36,TV-43,,Exit short,out,1,19662.5,43,0.00,0.00,71.50,12309.00,TP/SL
03/20/2025 03:30:36,TV-43,,Entry short,in,1,19698.25,43,0.00,0.00,71.50,0.00,Short
03/22/2025 08:45:36,TV-44,,Exit long,out,1,19731.75,44,0.00,0.00,-126.00,12183.00,TP/SL
03/22/2025 06:45:36,TV-44,,Entry long,in,1,19794.75,44,0.00,0.00,-126.00,0.00,Long
03/22/2025 16:45:36,TV-45,,Exit short,out,1,19976,45,0.00,0.00,-246.50,11936.50,TP/SL
03/22/2025 13:30:36,TV-45,,Entry short,in,1,19852.75,45,0.00,0.00,-246.50,0.00,Short
03/29/2025 06:45:36,TV-46,,Exit short,out,1,19964.5,46,0.00,0.00,-106.50,11830.00,TP/SL
03/29/2025 06:15:36,TV-46,,Entry short,in,1,19911.25,46,0.00,0.00,-106.50,0.00,Short
04/01/2025 08:45:36,TV-47,,Exit short,out,1,19121.75,47,0.00,0.00,104.50,11934.50,TP/SL
04/01/2025 06:30:36,TV-47,,Entry short,in,1,19174,47,0.00,0.00,104.50,0.00,Short
04/01/2025 15:45:36,TV-48,,Exit short,out,1,19392.25,48,0.00,0.00,-275.00,11659.50,TP/SL
04/01/2025 14:00:36,TV-48,,Entry short,in,1,19254.75,48,0.00,0.00,-275.00,0.00,Short
04/03/2025 07:15:36,TV-49,,Exit short,out,1,19475,49,0.00,0.00,87.50,11747.00,TP/SL
04/03/2025 05:30:36,TV-49,,Entry short,in,1,19518.75,49,0.00,0.00,87.50,0.00,Short
04/03/2025 15:30:36,TV-50,,Exit short,out,1,19645.5,50,0.00,0.00,203.00,11950.00,TP/SL
04/03/2025 15:15:36,TV-50,,Entry short,in,1,19747,50,0.00,0.00,203.00,0.00,Short
04/08/2025 21:15:36,TV-51,,Exit long,out,1,17827,51,0.00,0.00,793.50,12743.50,TP/SL
04/08/2025 17:00:36,TV-51,,Entry long,in,1,17430.25,51,0.00,0.00,793.50,0.00,Long
04/09/2025 05:30:36,TV-52,,Exit short,out,1,17750,52,0.00,0.00,208.00,12951.50,TP/SL
04/09/2025 05:00:36,TV-52,,Entry short,in,1,17854,52,0.00,0.00,208.00,0.00,Short
04/11/2025 07:15:36,TV-53,,Exit long,out,1,18961.5,53,0.00,0.00,274.50,13226.00,TP/SL
04/11/2025 07:00:36,TV-53,,Entry long,in,1,18824.25,53,0.00,0.00,274.50,0.00,Long
04/15/2025 17:15:36,TV-54,,Exit short,out,1,18908.25,54,0.00,0.00,267.00,13493.00,TP/SL
04/15/2025 16:45:36,TV-54,,Entry short,in,1,19041.75,54,0.00,0.00,267.00,0.00,Short
04/16/2025 09:00:36,TV-55,,Exit short,out,1,18921.75,55,0.00,0.00,115.00,13608.00,TP/SL
04/16/2025 06:30:36,TV-55,,Entry short,in,1,18979.25,55,0.00,0.00,115.00,0.00,Short
04/30/2025 10:15:36,TV-56,,Exit short,out,1,19439.5,56,0.00,0.00,102.50,13710.50,TP/SL
04/30/2025 09:45:36,TV-56,,Entry short,in,1,19490.75,56,0.00,0.00,102.50,0.00,Short
04/30/2025 11:00:36,TV-57,,Exit short,out,1,19483.75,57,0.00,0.00,-160.00,13550.50,TP/SL
04/30/2025 10:30:36,TV-57,,Entry short,in,1,19403.75,57,0.00,0.00,-160.00,0.00,Short
04/30/2025 23:00:36,TV-58,,Exit short,out,1,19508,58,0.00,0.00,167.00,13717.50,TP/SL
04/30/2025 18:00:36,TV-58,,Entry short,in,1,19591.5,58,0.00,0.00,167.00,0.00,Short
05/01/2025 09:30:36,TV-59,,Exit short,out,1,19488.25,59,0.00,0.00,84.00,13801.50,TP/SL
05/01/2025 09:15:36,TV-59,,Entry short,in,1,19530.25,59,0.00,0.00,84.00,0.00,Short
05/08/2025 11:30:36,TV-60,,Exit short,out,1,19956.5,60,0.00,0.00,-136.00,13665.50,TP/SL
05/08/2025 10:30:36,TV-60,,Entry short,in,1,19888.5,60,0.00,0.00,-136.00,0.00,Short
